"Пожалуйста, выберите вариант стрижки, а ниже заполните анкету исходя из опыта - параметры клиента, которого вы стригли одним из приведенных способов",Возраст,Форма Лица,Структура волос,Густота волос,Длина волос,Цвет волос,Среднее время на укладку(минут в день),Образ жизни,Стиль,Телосложение,Стиль одежды,Использование укладочных средств,Тип укладки,Использование фена,Unnamed: 16,Unnamed: 17,Unnamed: 18
Маллет,19-28,Круглая,Прямые,Средняя,Средние,Брюнет,10-30,Спортивный/Активный,Экспериментатор,Худощавое,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Редко
Маллет,13-18,Овальная,Волнистые,Средняя,Длинные,Блонд,10-30,Спортивный/Активный,Экспериментатор,Плотное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Французкий кроп,0-12,Овальная,Волнистые,Высокая,Средние,Блонд,30-40 минут ,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Четкая-монолитная,Да,Уже длинные,Нет,Никогда
Классика,46+,Овальная,Прямые,Низкая,Средние,Брюнет,10-30,Спортивный/Активный,Смешанный,Худощавое,Уличный,Да,Неряшливо-растрепанная,Нет,Да,Нет,Раз в месяц
Крю-кат,19-28,Квадратная,Прямые,Средняя,Короткие,Блонд,1-10,Творческий,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Редко
Французкий кроп,13-18,Круглая,Прямые,Высокая,Средние,Брюнет,1-10,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Нет,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Каскад,46+,Треугольная,Прямые,Высокая,Средние,Любой ,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Нет,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Французкий кроп,19-28,Круглая,Волнистые,Низкая,Короткие,Брюнет,10-30,Деловой,Экспериментатор,Спортивное,Любой,Да,Неряшливо-растрепанная,Да,Нет,Нет,Редко
Каскад,19-28,Овальная,Прямые,Низкая,Длинные,Блонд,25 минут ,Спортивный/Активный,Смешанный,Худощавое,Уличный,Да,Естественная,Да,Да,Нет,Никогда
Серферская укладка,19-28,Ромбовидная,Прямые,Высокая,Средние,Седой,25 минут ,Спортивный/Активный,Минималист,Спортивное,Casual,Нет,Четкая-монолитная,Да,Нет,Нет,Никогда
Французкий кроп,19-28,Квадратная,Прямые,Низкая,Средние,Шатен,10-30,Деловой,Экспериментатор,Худощавое,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Редко
Шэг,46+,Круглая,Прямые,Средняя,Средние,Блонд,30 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Никогда
Классика,19-28,Круглая,Прямые,Низкая,Средние,Брюнет,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Естественная,Нет,Нет,Нет,Редко
Классика,46+,Ромбовидная,Прямые,Средняя,Короткие,Шатен,10-30,Спортивный/Активный,Минималист,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Нет,Да,Нет,Раз в месяц
Шторки,19-28,Прямоугольная,Прямые,Средняя,Длинные,Брюнет,10-30,Деловой,Экспериментатор,Худощавое,Спортивный,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Крю-кат,0-12,Треугольная,Волнистые,Средняя,Короткие,Шатен,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Французкий кроп,0-12,Квадратная,Прямые,Низкая,Средние,Блонд,25 минут ,Деловой,Минималист,Худощавое,Спортивный,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Никогда
Классика,13-18,Овальная,Прямые,Средняя,Короткие,Блонд,1-10,Деловой,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Шторки,0-12,Ромбовидная,Прямые,Низкая,Длинные,Рыжий,30-40 минут ,Спокойный,Экспериментатор,Спортивное,Уличный,Да,Естественная,Да,Нет,Нет,Раз в месяц
Каскад,19-28,Ромбовидная,Прямые,Средняя,Длинные,Блонд,30-40 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Нет,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Ман-бун,19-28,Овальная,Прямые,Средняя,Длинные,Блонд,30 минут ,Спортивный/Активный,Смешанный,Худощавое,Casual,Да,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Крю-кат,19-28,Овальная,Прямые,Средняя,Короткие,Блонд,10-30,Спокойный,Экспериментатор,Среднее,Уличный,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Базз-кат,0-12,Овальная,Волнистые,Средняя,Короткие,Шатен,0(не укладываете),Спортивный/Активный,Экспериментатор,Среднее,Уличный,Нет,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Базз-кат,0-12,Овальная;Круглая;Квадратная,Прямые,Низкая,Короткие,Шатен,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Никогда
Базз-кат,29-45,Ромбовидная,Прямые,Низкая,Короткие,Шатен,1-10,Спортивный/Активный,Смешанный,Спортивное,Спортивный,Нет,Неряшливо-растрепанная,Нет,Нет,Нет,Никогда
Маллет,19-28,Ромбовидная,Волнистые,Средняя,Средние,Шатен,1-10,Спортивный/Активный,Экспериментатор,Худощавое,Уличный,Да,Неряшливо-растрепанная,Да,Да,Нет,Редко
Шэг,29-45,Треугольная,Волнистые,Низкая,Средние,Шатен,1-10,Деловой,Смешанный,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Уже длинные,Нет,Раз в месяц
Крю-кат,29-45,Ромбовидная,Прямые,Низкая,Короткие,Шатен,1-10,Деловой,Смешанный,Спортивное,Спортивный,Нет,Четкая-монолитная,Да,Нет,Нет,Никогда
Шэг,19-28,Овальная,Волнистые,Средняя,Длинные,Блонд,30-40 минут ,Деловой,Экспериментатор,Среднее,Уличный,Нет,Естественная,Да,Нет,Нет,Раз в месяц
Маллет,46+,Прямоугольная,Волнистые,Средняя,Длинные,Брюнет,25 минут ,Деловой,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Нет,Нет,Нет,Редко
Серферская укладка,29-45,Круглая,Прямые,Средняя,Длинные,Седой,30 минут ,Деловой,Смешанный,Спортивное,Полу классика ,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Французкий кроп,29-45,Ромбовидная,Прямые,Низкая,Короткие,Брюнет,1-10,Деловой,Экспериментатор,Среднее,Casual,Да,Естественная,Да,Нет,Нет,Никогда
Классика,29-45,Овальная,Прямые,Средняя,Средние,Брюнет,30 минут ,Спортивный/Активный,Минималист,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Редко
Классика,13-18,Овальная,Прямые,Средняя,Средние,Седой,1-10,Творческий,Экспериментатор,Худощавое,Любой,Да,Неряшливо-растрепанная,Да,Нет,Нет,Редко
Шэг,19-28,Прямоугольная,Спиральные,Средняя,Средние,Блонд,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Классика,13-18,Овальная,Волнистые,Высокая,Короткие,Шатен,0(не укладываете),Творческий,Экспериментатор,Спортивное,Деловой,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Шэг,29-45,Овальная,Спиральные,Средняя,Длинные,Брюнет,30 минут ,Спортивный/Активный,Минималист,Худощавое,Casual,Да,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Ман-бун,29-45,Квадратная,Прямые,Низкая,Длинные,Любой,30 минут ,Спортивный/Активный,Минималист,Худощавое,Casual,Нет,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Классика,19-28,Круглая,Волнистые,Средняя,Средние,Шатен,10-30,Деловой,Смешанный,Спортивное,Casual,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Андеркат,13-18,Ромбовидная,Прямые,Средняя,Короткие,Блонд,0(не укладываете),Спортивный/Активный,Экспериментатор,Среднее,Деловой,Да,Естественная,Да,Нет,Нет,Раз в месяц
Классика,0-12,Овальная,Волнистые,Средняя,Средние,Шатен,10-30,Деловой,Экспериментатор,Спортивное,Деловой,Нет,Естественная,Да,Нет,Нет,Редко
Шторки,19-28,Овальная,Волнистые,Средняя,Длинные,Шатен,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Крю-кат,13-18,Квадратная,Прямые,Средняя,Короткие,Блонд,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Естественная,Нет,Нет,Нет,Раз в месяц
Классика,29-45,Ромбовидная,Волнистые,Низкая,Средние,Шатен,10-30,Деловой,Минималист,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Шторки,13-18,Овальная,Волнистые,Средняя,Длинные,Шатен,25 минут ,Творческий,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Да,Нет,Раз в месяц
Каскад,19-28,Ромбовидная,Волнистые,Средняя,Средние,Шатен,30-40 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Четкая-монолитная,Да,Уже длинные,Нет,Раз в месяц
Андеркат,19-28,Прямоугольная,Волнистые,Средняя,Средние,Шатен,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Шторки,46+,Овальная,Прямые,Средняя,Длинные,Седой,10-30,Спортивный/Активный,Минималист,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Шэг,19-28,Овальная,Кудрявые,Средняя,Средние,Блонд,30-40 минут ,Деловой,Минималист,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Крю-кат,46+,Овальная,Прямые,Средняя,Короткие,Шатен,1-10,Спортивный/Активный,Смешанный,Спортивное,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Крю-кат,0-12,Ромбовидная,Прямые,Средняя,Короткие,Брюнет,10-30,Деловой,Минималист,Среднее,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Серферская укладка,19-28,Овальная,Волнистые,Средняя,Средние,Шатен,10-30,Деловой,Смешанный,Спортивное,Деловой,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Андеркат,13-18,Круглая,Волнистые,Средняя,Короткие,Шатен,0(не укладываете),Деловой,Минималист,Среднее,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Шэг,19-28,Овальная,Волнистые,Средняя,Средние,Шатен,1-10,Деловой,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Уже длинные,Нет,Никогда
Серферская укладка,0-12,Прямоугольная,Кудрявые,Средняя,Средние,Шатен,1-10,Деловой,Смешанный,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Уже длинные,Нет,Раз в месяц
Серферская укладка,19-28,Круглая,Кудрявые,Средняя,Длинные,Брюнет,10-30,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Маллет,13-18,Овальная,Прямые,Средняя,Средние,Брюнет,30-40 минут ,Творческий,Экспериментатор,Среднее,Спортивный,Да,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Каскад,29-45,Овальная,Волнистые,Средняя,Средние,Блонд,25 минут ,Творческий,Минималист,Плотное,Casual,Да,Четкая-монолитная,Нет,Нет,Нет,Никогда
Серферская укладка,29-45,Овальная,Прямые,Средняя,Длинные,Шатен,10-30,Спокойный,Экспериментатор,Спортивное,Casual,Нет,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Крю-кат,13-18,Квадратная,Прямые,Средняя,Короткие,Седой,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Шэг,19-28,Треугольная,Волнистые,Средняя,Длинные,Шатен,30-40 минут ,Спортивный/Активный,Смешанный,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Уже длинные,Нет,Редко
Классика,13-18,Квадратная,Прямые,Низкая,Короткие,Блонд,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Маллет,0-12,Овальная,Прямые,Средняя,Длинные,Блонд,10-30,Деловой,Экспериментатор,Спортивное,Уличный,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Шэг,29-45,Ромбовидная,Прямые,Высокая,Длинные,Рыжий,20,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Нет,Естественная,Да,Уже длинные,Нет,Раз в месяц
Шэг,19-28,Прямоугольная,Прямые,Низкая,Средние,Брюнет,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Деловой,Нет,Неряшливо-растрепанная,Нет,Нет,Нет,Никогда
Шторки,19-28,Прямоугольная,Прямые,Средняя,Длинные,Брюнет,30-40 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Каскад,0-12,Прямоугольная,Волнистые,Высокая,Средние,Блонд,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Да,Четкая-монолитная,Да,Нет,Нет,Редко
Крю-кат,13-18,Овальная,Прямые,Высокая,Короткие,Шатен,0(не укладываете),Деловой,Минималист,Среднее,Casual,Нет,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Крю-кат,29-45,Овальная,Волнистые,Средняя,Короткие,Блонд,1-10,Спортивный/Активный,Экспериментатор,Среднее,Спортивный,Да,Неряшливо-растрепанная,Нет,Уже длинные,Нет,Редко
Помпадур,13-18,Круглая,Прямые,Низкая,Средние,Блонд,25 минут ,Творческий,Экспериментатор,Спортивное,Спортивный,Нет,Лёгкая,Да,Уже длинные,Нет,Раз в месяц
Серферская укладка,29-45,Овальная,Спиральные,Средняя,Длинные,Блонд,30-40 минут ,Деловой,Смешанный,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Серферская укладка,19-28,Овальная,Прямые,Средняя,Средние,Шатен,30-40 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Классика,0-12,Ромбовидная,Прямые,Средняя,Короткие,Брюнет,0(не укладываете),Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Шторки,46+,Квадратная,Волнистые,Средняя,Длинные,Брюнет,25 минут ,Деловой,Экспериментатор,Среднее,Casual,Да,Четкая-монолитная,Нет,Нет,Нет,Никогда
Крю-кат,19-28,Квадратная,Волнистые,Низкая,Короткие,Блонд,1-10,Творческий,Экспериментатор,Худощавое,Casual,Да,Естественная,Нет,Нет,Нет,Раз в месяц
Серферская укладка,19-28,Ромбовидная,Волнистые,Высокая,Длинные,Рыжий,20,Спортивный/Активный,Минималист,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Никогда
Крю-кат,19-28,Круглая,Волнистые,Низкая,Короткие,Блонд,10-30,Спортивный/Активный,Минималист,Спортивное,Casual,Да,Четкая-монолитная,Нет,Да,Нет,Редко
Крю-кат,29-45,Ромбовидная,Прямые,Низкая,Короткие,Блонд,1-10,Творческий,Смешанный,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Шторки,46+,Квадратная,Прямые,Средняя,Длинные,Брюнет,30-40 минут ,Спортивный/Активный,Минималист,Худощавое,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Базз-кат,19-28,Овальная,Прямые,Высокая,Короткие,Брюнет,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Никогда
Шэг,0-12,Овальная,Волнистые,Средняя,Средние,Шатен,30 минут ,Спокойный,Смешанный,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Андеркат,13-18,Овальная,Прямые,Низкая,Средние,Блонд,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Шторки,13-18,Ромбовидная,Волнистые,Средняя,Длинные,Седой,25 минут ,Спокойный,Экспериментатор,Худощавое,Casual,Нет,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Каскад,13-18,Ромбовидная,Волнистые,Низкая,Длинные,Блонд,30-40 минут ,Спортивный/Активный,Экспериментатор,Худощавое,Спортивный,Да,Естественная,Да,Нет,Нет,Раз в месяц
Базз-кат,29-45,Квадратная,Прямые,Низкая,Короткие,Блонд,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Уже длинные,Нет,Никогда
Каскад,19-28,Квадратная,Прямые,Средняя,Средние,Шатен,10-30,Спортивный/Активный,Минималист,Спортивное,Casual,Да,Естественная,Нет,Нет,Нет,Раз в месяц
Классика,0-12,Треугольная,Прямые,Низкая,Средние,Рыжий,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Естественная,Нет,Нет,Нет,Раз в месяц
Базз-кат,19-28,Овальная,Волнистые,Средняя,Короткие,Шатен,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Шэг,13-18,Квадратная,Прямые,Низкая,Средние,Блонд,30-40 минут ,Деловой,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Базз-кат,13-18,Ромбовидная,Кудрявые,Высокая,Короткие,Шатен,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Классика,13-18,Квадратная,Волнистые,Высокая,Короткие,Брюнет,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Нет,Естественная,Да,Нет,Нет,Раз в месяц
Французкий кроп,29-45,Прямоугольная,Прямые,Высокая,Короткие,Блонд,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Серферская укладка,29-45,Ромбовидная,Волнистые,Низкая,Длинные,Седой,25 минут ,Спокойный,Минималист,Спортивное,Уличный,Да,Естественная,Да,Нет,Нет,Никогда
Классика,46+,Овальная,Прямые,Средняя,Короткие,Блонд,1-10,Спортивный/Активный,Экспериментатор,Среднее,Деловой,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Маллет,13-18,Треугольная,Волнистые,Средняя,Длинные,Брюнет,10-30,Деловой,Смешанный,Среднее,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Базз-кат,46+,Ромбовидная,Прямые,Низкая,Короткие,Блонд,1-10,Спортивный/Активный,Экспериментатор,Худощавое,Деловой,Да,Естественная,Да,Уже длинные,Нет,Раз в месяц
Базз-кат,13-18,Треугольная,Прямые,Средняя,Короткие,Брюнет,1-10,Деловой,Экспериментатор,Спортивное,Уличный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Редко
Шторки,19-28,Ромбовидная,Прямые,Средняя,Длинные,Шатен,30 минут ,Деловой,Экспериментатор,Спортивное,Casual,Нет,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Андеркат,29-45,Овальная,Кудрявые,Средняя,Средние,Блонд,30-40 минут ,Спокойный,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Каскад,29-45,Овальная,Волнистые,Средняя,Средние,Шатен,10-30,Спортивный/Активный,Смешанный,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Редко
Шторки,13-18,Овальная,Волнистые,Высокая,Длинные,Блонд,20,Деловой,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Базз-кат,0-12,Ромбовидная,Прямые,Средняя,Короткие,Брюнет,10-30,Спокойный,Смешанный,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Классика,19-28,Квадратная,Прямые,Низкая,Средние,Блонд,30 минут ,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Андеркат,29-45,Овальная,Волнистые,Средняя,Короткие,Блонд,0(не укладываете),Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Естественная,Да,Уже длинные,Нет,Никогда
Ман-бун,46+,Ромбовидная,Кудрявые,Средняя,Длинные,Шатен,30-40 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Классика,29-45,Овальная,Кудрявые,Средняя,Короткие,русый,10-30,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Естественная,Нет,Нет,Нет,Раз в месяц
Базз-кат,0-12,Овальная,Волнистые,Низкая,Короткие,Брюнет,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Да,Нет,Никогда
Помпадур,19-28,Квадратная,Волнистые,Средняя,Средние,Блонд,10-30,Творческий,Минималист,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Редко
Крю-кат,19-28,Треугольная,Прямые,Низкая,Короткие,Блонд,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Шторки,19-28,Ромбовидная,Прямые,Средняя,Длинные,Шатен,30 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Шторки,29-45,Овальная,Прямые,Средняя,Длинные,Блонд,10-30,Деловой,Экспериментатор,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Ман-бун,13-18,Квадратная,Прямые,Средняя,Длинные,Седой,25 минут ,Спокойный,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Помпадур,13-18,Овальная,Волнистые,Высокая,Длинные,Брюнет,10-30,Спортивный/Активный,Смешанный,Среднее,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Крю-кат,0-12,Овальная,Волнистые,Низкая,Короткие,Шатен,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Французкий кроп,19-28,Прямоугольная,Волнистые,Низкая,Средние,Брюнет,1-10,Спортивный/Активный,Экспериментатор,Среднее,Casual,Да,Неряшливо-растрепанная,Да,Да,Нет,Никогда
Шэг,29-45,Овальная,Волнистые,Низкая,Средние,Блонд,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Естественная,Да,Нет,Нет,Никогда
Шэг,13-18,Треугольная,Волнистые,Средняя,Длинные,Шатен,20,Творческий,Минималист,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Маллет,29-45,Овальная,Прямые,Средняя,Длинные,Блонд,30 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Французкий кроп,19-28,Круглая,Волнистые,Средняя,Средние,Брюнет,30 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Уже длинные,Нет,Раз в месяц
Базз-кат,19-28,Ромбовидная,Волнистые,Средняя,Короткие,Шатен,1-10,Спортивный/Активный,Смешанный,Среднее,Уличный,Да,Неряшливо-растрепанная,Нет,Да,Нет,Редко
Маллет,13-18,Треугольная,Прямые,Низкая,Длинные,Блонд,25 минут ,Спортивный/Активный,Экспериментатор,Среднее,Спортивный,Да,Естественная,Да,Уже длинные,Нет,Раз в месяц
Крю-кат,29-45,Квадратная,Прямые,Средняя,Короткие,Блонд,1-10,Спортивный/Активный,Смешанный,Спортивное,Любой,Да,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Ман-бун,46+,Овальная,Волнистые,Средняя,Длинные,Блонд,20,Деловой,Экспериментатор,Спортивное,Уличный,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Шэг,13-18,Овальная,Спиральные,Средняя,Длинные,Седой,30 минут ,Творческий,Экспериментатор,Спортивное,Casual,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Редко
Базз-кат,29-45,Овальная;Круглая;Квадратная,Кудрявые,Высокая,Короткие,Шатен,0(не укладываете),Творческий,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Классика,19-28,Квадратная,Прямые,Средняя,Средние,Блонд,25 минут ,Спортивный/Активный,Смешанный,Спортивное,Уличный,Да,Естественная,Нет,Нет,Нет,Никогда
Крю-кат,19-28,Овальная,Прямые,Низкая,Короткие,русый,10-30,Деловой,Смешанный,Спортивное,Уличный,Нет,Неряшливо-растрепанная,Нет,Да,Нет,Раз в месяц
Шэг,46+,Ромбовидная,Волнистые,Средняя,Длинные,Шатен,30 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Базз-кат,19-28,Овальная,Волнистые,Высокая,Короткие,Шатен,0(не укладываете),Спортивный/Активный,Экспериментатор,Худощавое,Спортивный,Нет,Естественная,Нет,Нет,Нет,Раз в месяц
Шэг,46+,Квадратная,Прямые,Высокая,Средние,Шатен,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Нет,Неряшливо-растрепанная,Да,Уже длинные,Нет,Редко
Шэг,19-28,Квадратная,Волнистые,Высокая,Средние,Блонд,1-10,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Каскад,19-28,Прямоугольная,Прямые,Средняя,Средние,Шатен,30-40 минут ,Спортивный/Активный,Смешанный,Худощавое,Casual,Да,Естественная,Да,Да,Нет,Раз в месяц
Классика,0-12,Овальная,Прямые,Высокая,Короткие,Седой,10-30,Спортивный/Активный,Минималист,Спортивное,Деловой,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Ман-бун,19-28,Ромбовидная,Прямые,Низкая,Длинные,Брюнет,10-30,Спокойный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Да,Нет,Редко
Серферская укладка,0-12,Ромбовидная,Прямые,Средняя,Средние,Блонд,25 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Андеркат,29-45,Овальная,Волнистые,Средняя,Короткие,Шатен,0(не укладываете),Деловой,Экспериментатор,Худощавое,Уличный,Да,Естественная,Да,Нет,Нет,Раз в месяц
Шэг,0-12,Треугольная,Прямые,Средняя,Средние,Блонд,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Классика,19-28,Квадратная,Прямые,Высокая,Средние,Шатен,10-30,Спортивный/Активный,Экспериментатор,Худощавое,Деловой,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Каскад,19-28,Овальная,Волнистые,Средняя,Длинные,Блонд,25 минут ,Спокойный,Смешанный,Худощавое,Уличный,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
